padre,hijo
kanto,Route 1
kanto,Route 2
kanto,Route 3
kanto,Route 4
kanto,Route 5
kanto,Route 6
kanto,Route 7
kanto,Route 8
kanto,Route 9
kanto,Route 10
kanto,Route 11
kanto,Route 12
kanto,Route 13
kanto,Route 14
kanto,Route 15
kanto,Route 16
kanto,Route 17
kanto,Route 18
kanto,Route 19
kanto,Route 20
kanto,Route 21
kanto,Route 22
kanto,Route 23
kanto,Route 24
kanto,Route 25
kanto,Route 26
kanto,Route 27
kanto,Route 28
kanto,Berry Forest
kanto,Bond Bridge
kanto,Canyon Entrance
kanto,Cape Brink
kanto,Celadon City
kanto,Cerulean Cave
kanto,Cerulean City
kanto,Cinnabar Island
kanto,Diglett's Cave
kanto,Dotted Hole
kanto,Five Island
kanto,Five Isle Meadow
kanto,Four Island
kanto,Fuchsia City
kanto,Green Path
kanto,Icefall Cave
kanto,Indigo Plateau
kanto,Kindle Road
kanto,Lavender Town
kanto,Lost Cave
kanto,Memorial Pillar
kanto,Mt. Ember
kanto,Mt. Moon
kanto,Navel Rock
kanto,One Island
kanto,Outcast Island
kanto,Pallet Town
kanto,Pattern Bush
kanto,Pewter City
kanto,Pokémon Mansion
kanto,Pokémon Tower
kanto,Power Plant
kanto,Resort Gorgeous
kanto,Roaming Kanto
kanto,Rock Tunnel
kanto,Rocket Hideout
kanto,Rocket Warehouse
kanto,Ruin Valley
kanto,Safari Zone
kanto,Saffron City
kanto,Seafoam Islands
kanto,Sevault Canyon
kanto,Seven Island
kanto,Silph Co.
kanto,Six Island
kanto,SS Anne
kanto,Tanoby Ruins
kanto,Three Island
kanto,Three Isle Path
kanto,Three Isle Port
kanto,Tohjo Falls
kanto,Trainer Tower
kanto,Treasure Beach
kanto,Two Island
kanto,Underground Path 5-6
kanto,Underground Path 7-8
kanto,Vermilion City
kanto,Victory Road
kanto,Viridian City
kanto,Viridian Forest
kanto,Water Labyrinth
kanto,Water Path
johto,Route 29
johto,Route 30
johto,Route 31
johto,Route 32
johto,Route 33
johto,Route 34
johto,Route 35
johto,Route 36
johto,Route 37
johto,Route 38
johto,Route 39
johto,Route 40
johto,Route 41
johto,Route 42
johto,Route 43
johto,Route 44
johto,Route 45
johto,Route 46
johto,Route 47
johto,Route 48
johto,Azalea Town
johto,Battle Frontier
johto,Bell Tower
johto,Bellchime Trail
johto,Blackthorn City
johto,Burned Tower
johto,Cherrygrove City
johto,Cianwood City
johto,Cliff Cave
johto,Cliff Edge Gate
johto,Dark Cave
johto,Dragon's Den
johto,Ecruteak City
johto,Embedded Tower
johto,Frontier Access
johto,Glitter Lighthouse
johto,Goldenrod City
johto,Goldenrod Radio Tower
johto,Goldenrod Underground
johto,Ice Path
johto,Ilex Forest
johto,Lake of Rage
johto,Mahogany Town
johto,Mt. Mortar
johto,Mt. Silver
johto,National Park
johto,New Bark Town
johto,Olivine City
johto,Pokéathlon Dome
johto,Roaming Johto
johto,Ruins of Alph
johto,Safari Zone Gate
johto,Sinjoh Ruins
johto,Slowpoke Well
johto,Sprout Tower
johto,SS Aqua
johto,Team Rocket HQ
johto,Tin Tower
johto,Union Cave
johto,Violet City
johto,Whirl Islands
hoenn,Route 101
hoenn,Route 102
hoenn,Route 103
hoenn,Route 104
hoenn,Route 105
hoenn,Route 106
hoenn,Route 107
hoenn,Route 108
hoenn,Route 109
hoenn,Route 110
hoenn,Route 111
hoenn,Route 112
hoenn,Route 113
hoenn,Route 114
hoenn,Route 115
hoenn,Route 116
hoenn,Route 117
hoenn,Route 118
hoenn,Route 119
hoenn,Route 120
hoenn,Route 121
hoenn,Route 122
hoenn,Route 123
hoenn,Route 124
hoenn,Route 125
hoenn,Route 126
